 2167444 14.1 7140    4.1    MULT      0.5   5.2    1730.     0.8082
 2448307 14.0 7350    3.9    MULT      0.2   3.5    1390.     1.2516
 2579595 14.1 7150    4.1    ASYM      0.7   1.7    5175.     1.2205
 2581964 14.0 7410    4.2    ASYM      0.4   1.5    5914.     0.5389
 2857178 14.6 7440    4.2    ASYM      0.9   2.0     392.     1.7313
 2974858 14.4 7010    4.2    MULT      0.75  3.1      49.     2.0287
 2975214 14.0 6860    4.2    MULT      0.25  0.5      69.     0.3131
 2985526 14.4 6180    4.3    MULT       .25  1.2      53.     0.3737
 2996232 14.1 7180    4.2    ASYM      0.35  1.5     420.     0.9369
 3248951 14.3 7270    4.3    SYM       0.25  3.0     400.     1.4643
 3556003 14.3 6710    4.1    SYM       0.75  1.25   6100.     0.9381
 3660010 14.2 6360    4.4    SYM       0.35  1.0    3500.     0.3902
 3853742 14.1 7280    4.2    SYM       0.25  0.75    335.     0.4416
 3947031 14.1 7270    4.2    SYM       0.75  1.5     432.     0.9082
 3964570 14.0 6760    4.3    SYM       0.75  1.25   1140.     1.0841
 3966800 14.7 6680    3.9    MULT      0.25  1.5     101.     0.3294
 3967081 14.2 6700    4.2    SYM       0.25  2.75   3330.     1.2850
 4155654 15.4 7360    3.9    MULT      0.20  0.75    132.     0.2208
 4281025 14.0 6300    4.4    MULT      0.20  1.0     390.     0.4136
 4346807 14.9 6480    4.3    SYM       0.35  0.75    300.     0.4596
 4365676 14.5 6450    4.3    SYM       0.5   1.4    7350.     0.6464
 4372107 15.0 7660    4.2    SYM       1.3   1.8    3500.     1.6250
 4554290 14.3 6620    4.4    MULT      0.25  1.2    1530.     0.3558
 4561941 14.6 6550    3.8    MULT      0.25  1.0    1390.     0.6437
 4566563 14.2 7090    4.2    MULT      0.3   1.5     250.     0.3435
 4568058 14.4 7380    4.2    SYM       0.8   1.3    8000.     1.0794
 4568087 14.8 7350    4.1    SYM       0.7   1.0    2200.     0.8505
