 2581626 15.0 8030    4.0    HADS     18.2  18.3   18090.    18.2553 
 2972514 14.0 6550    4.2    HADS      3.95  4.05  57465.     3.9993 
 3119295 14.3 7440    4.1    HADS      4.55  4.65  49230.     4.5944 
 3953144 14.7 8150    4.1    HADS      8.0  18.5    8680.     9.9374 
 4036687 15.2 6400    4.2    HADS      6.7   6.8   28080.     6.7302 
 4066203 14.1 6700    4.3    HADS      5.65  5.75     14.250  5.7163 
 4243668 14.7 6510    4.3    HADS      5.2   5.3   10060.     5.2646 
 4374279 14.6 7060    4.2    HADS      5.85  5.95   4000.     5.9070 
 4466691 14.3 6710    4.3    HADS      4.1   4.2   28980.     4.1723 
 4547067 14.7 6240    4.2    HADS      4.9   5.0   14190.     4.9662 
 4651526 14.8 6440    4.2    HADS      6.7   6.8   22055.     6.7715 
 4995588 15.0 7600    4.2    Other    23.5  24.0    4300.    23.7488 
 5027750 14.8 6930    4.2    MULT     10.0  24.0    2670.    11.8209 
 5284701 14.4 7720    4.2    MULT     15.2  24.0     760.    19.3581 
 5286485 14.8 6840    4.3    MULT      7.6  10.1    4270.    10.0890 
 5353653 15.1 6710    4.1    HADS      5.45  5.55  11205.     5.4730 
 5357882 14.7 6630    4.3    HADS      5.15  5.25  21745.     5.2004 
 5534340 14.6 7250    4.1    HADS      5.4  16.0   12280.     6.0612 
 5611763 14.9 6400    4.2    HADS      5.55  5.65  15260.     5.5868 
 5707205 14.3 7220    4.2    MULT      6.0  17.0    7890.     9.7293 
 5788165 14.4 8110    4.1    MULT      8.0  23.0    3670.    17.9811 
 5966237 14.9 6790    4.5    HADS      5.05  5.15  11780.     5.0919 
 5978805 14.1 6740    4.0    Other    21.2  24.0     250.    23.7209 
 6271512 14.2 7830    3.9    HADS     10.3  10.4    8300.    10.3721 
 6304420 14.4 7480    4.0    MULT     16.9  18.6    1500.    18.5395 
 6344429 14.7 7020    4.0    HADS      4.85  4.95  12600.     4.8972 
 6442207 15.5 7980    4.2    HADS      4.35  4.45  11000.     4.4000 
 6444630 14.6 6160    4.2    HADS      6.0   6.1    4200.     6.0558 
 6672071 14.9 6200    4.3    HADS      5.65  5.75 100000.     5.7070 
 6696050 14.3 7830    3.8    MULT     12.0  12.1    2000.    12.028  
 6778487 14.8 6420    4.4    HADS      5.05  5.15  91000.     5.095  
 6836820 14.5 6270    4.3    HADS      4.4   4.5  110000.     4.4720 
 6870432 14.0 7090    4.1    MULT     20.7  20.8    1500.    20.772  
 6955650 14.2 7510    4.0    HADS      3.75  3.85   4100.     3.7967 
 7048016 14.0 6480    4.4    MULT     16.0  16.1    5470.    16.0597 
 7124161 14.7 7690    3.9    HADS      4.65  4.75  25000.     4.6869 
 7347529 14.1 7610    3.6    MULT     11.2  11.8  654900.    11.7416 
 7381616 14.5 6930    4.3    MULT      8.8  22.0    3800.    15.014  
 7521682 14.8 6660    4.3    HADS      5.55  5.65   7120.     5.609  
 7601767 14.5 6770    4.1    HADS      4.05  4.15  88600.     4.1121 
 7617649 14.6 6160    4.3    HADS      5.4   5.5  175000.     5.433  
 7668283 14.6 7420    3.8    HADS      3.65  3.75  12500.     3.7143 
 7750215 14.3 8360    4.1    MULT     15.2  23.0    5795.    16.4151 
 7905603 14.3 7500    4.0    MULT      7.9  18.5    9235.    18.233  
 7937097 14.3 6220    4.3    HADS      4.65  4.75   7300.     4.6869 
 7948091 14.8 6290    4.3    HADS      6.5   6.6    3330.     6.526  
 7984934 14.1 6160    4.2    HADS      6.8   6.9   19500.     6.874  
 8052082 14.6 6780    4.3    MULT     15.9  24.0    1145.    18.3534 
 8087649 14.4 7260    4.1    HADS      4.1   4.2    4700.     4.1682 
 8090059 14.0 8020    3.9    HADS     18.3  18.4    4750.    18.3534 
 8144212 14.2 7360    4.1    MULT      9.3   9.4    1600.     9.349  
 8150307 14.8 7440    4.1    HADS     14.65 14.75   4500.    14.6977 
 8245366 11.2      NA     NA MULT      6.9  12.2  808370.    11.9743 
 8248296 14.1 7920    4.1    MULT     10.4  22.8     465.    13.556  
